yourlist:M20210906F248CABF64506F29A91F8037F07B67D11995558	Entry	Entry name	Status	Protein names	Gene names	Organism	Length	Gene ontology (GO)	Gene ontology IDs
PZV26496.1	A0A2W7D3V1	A0A2W7D3V1_9CYAN	unreviewed	Protein adenylyltransferase SelO (EC 2.7.7.n1)	selO DCF12_09390	Snowella sp.	474	ATP binding [GO:0005524]; magnesium ion binding [GO:0000287]; nucleotidyltransferase activity [GO:0016779]	GO:0000287; GO:0005524; GO:0016779
TRU87846.1	A0A552IWJ9	A0A552IWJ9_9CHRO	unreviewed	Protoheme IX farnesyltransferase (EC 2.5.1.141) (Heme B farnesyltransferase) (Heme O synthase)	ctaB EWV54_11580	Microcystis novacekii Mn_MB_F_20050700_S1D	316	integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]; protoheme IX farnesyltransferase activity [GO:0008495]; heme O biosynthetic process [GO:0048034]	GO:0005886; GO:0008495; GO:0016021; GO:0048034
HBL12806.1	A0A355DQS1	A0A355DQS1_9CYAN	unreviewed	Heme A synthase	DD379_15680	Cyanobacteria bacterium UBA11162	310	"integral component of membrane [GO:0016021]; oxidoreductase activity, acting on the CH-CH group of donors [GO:0016627]; heme A biosynthetic process [GO:0006784]"	GO:0006784; GO:0016021; GO:0016627
RIK80448.1	A0A3A0DU52	A0A3A0DU52_9BACT	unreviewed	Uncharacterized protein	DCC62_03760	candidate division KSB1 bacterium	74		
OBQ33584.1	A0A1B7W8Z4	A0A1B7W8Z4_9NOST	unreviewed	Uncharacterized protein	AN487_20060	Anabaena sp. CRKS33	71		
RMD68293.1	A0A3M0Y7K9	A0A3M0Y7K9_9CYAN	unreviewed	Putative nickel insertion protein	larC D6822_07215	Cyanobacteria bacterium J149	380	lyase activity [GO:0016829]; nickel cation binding [GO:0016151]	GO:0016151; GO:0016829
HAC65486.1	A0A3B8Y684	A0A3B8Y684_9CYAN	unreviewed	Phycobilisome protein	DCF68_18635	Cyanothece sp. UBA12306	166		
HBE20235.1	A0A352XDY6	A0A352XDY6_9CYAN	unreviewed	Phosphatidate cytidylyltransferase	DDW51_22135	Cyanobacteria bacterium UBA11367	231	integral component of membrane [GO:0016021]; diacylglycerol kinase activity [GO:0004143]; nucleotidyltransferase activity [GO:0016779]	GO:0004143; GO:0016021; GO:0016779
PYI83137.1	A0A2V6GQM5	A0A2V6GQM5_9BACT	unreviewed	HicB family protein	DMF09_12560 DMF41_12775	Verrucomicrobia bacterium	68		
OGW13566.1	A0A1G1E3W3	A0A1G1E3W3_9BACT	unreviewed	Uncharacterized protein	A3G93_10395	Nitrospinae bacterium RIFCSPLOWO2_12_FULL_45_22	76		
RLT43393.1	A0A3L7XJK9	A0A3L7XJK9_9CHLR	unreviewed	Uncharacterized protein	DWI57_04410	Chloroflexi bacterium	220		
RLC48596.1	A0A496ZSI6	A0A496ZSI6_9BACT	unreviewed	Uncharacterized protein	DRH57_01865	Candidatus Cloacimonetes bacterium	80		
NEO56618.1	A0A6M0A1T1	A0A6M0A1T1_9CYAN	unreviewed	Type II toxin-antitoxin system HicB family antitoxin	F6K54_28215	Okeania sp. SIO3B5	67		
CCQ70994.1	T2K0I8	T2K0I8_CROWT	unreviewed	MobC domain-containing protein	CWATWH0402_1903	Crocosphaera watsonii WH 0402	103		
RHP07316.1	A0A416D0W7	A0A416D0W7_9FIRM	unreviewed	ATP-dependent Clp protease ATP-binding subunit	DW004_05635	Firmicutes bacterium AF36-3BH	622	ATP binding [GO:0005524]; ATPase activity [GO:0016887]; peptidase activity [GO:0008233]	GO:0005524; GO:0008233; GO:0016887
GEO99624.1	A0A512IPJ1	A0A512IPJ1_9RHIZ	unreviewed	Uncharacterized protein	MHA02_20120	Methylobacterium haplocladii	3393	membrane [GO:0016020]; calcium ion binding [GO:0005509]; homophilic cell adhesion via plasma membrane adhesion molecules [GO:0007156]	GO:0005509; GO:0007156; GO:0016020
HBE16879.1	A0A352X4D0	A0A352X4D0_9CYAN	unreviewed	Global nitrogen regulator NtcA	ntcA DDW51_04505	Cyanobacteria bacterium UBA11367	225	DNA binding [GO:0003677]; DNA-binding transcription factor activity [GO:0003700]	GO:0003677; GO:0003700
PYU76771.1	A0A2V9H033	A0A2V9H033_9BACT	unreviewed	Methyltransf_21 domain-containing protein	DMG52_02940	Acidobacteria bacterium	282		
OGG24458.1	A0A1F6AIC9	A0A1F6AIC9_9BACT	unreviewed	PMT_2 domain-containing protein	A3A79_04720	Candidatus Gottesmanbacteria bacterium RIFCSPLOWO2_01_FULL_43_11b	481	"integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]; transferase activity, transferring glycosyl groups [GO:0016757]"	GO:0005886; GO:0016021; GO:0016757
CCQ64784.1	T2JIA0	T2JIA0_CROWT	unreviewed	Succinyl-CoA ligase [ADP-forming] alpha chain (EC 6.2.1.5)	CWATWH0402_5397	Crocosphaera watsonii WH 0402	225	succinate-CoA ligase (ADP-forming) activity [GO:0004775]	GO:0004775
NEO35793.1	A0A6P0KI06	A0A6P0KI06_9CYAN	unreviewed	"NAD(P)H-quinone oxidoreductase subunit H (EC 7.1.1.-) (NAD(P)H dehydrogenase, subunit H) (NADH-plastoquinone oxidoreductase subunit H) (NDH-1 subunit H) (NDH-H)"	ndhH F6J90_05430	Moorea sp. SIOASIH	394	"plasma membrane-derived thylakoid membrane [GO:0031676]; NAD binding [GO:0051287]; oxidoreductase activity, acting on NAD(P)H, quinone or similar compound as acceptor [GO:0016655]; quinone binding [GO:0048038]; photosynthesis, light reaction [GO:0019684]"	GO:0016655; GO:0019684; GO:0031676; GO:0048038; GO:0051287
NER50766.1	A0A6P0VR97	A0A6P0VR97_9CYAN	unreviewed	Uncharacterized protein	F6J92_29665	Symploca sp. SIO1A3	299	serine-type carboxypeptidase activity [GO:0004185]	GO:0004185
NEQ87686.1	A0A6P0SZQ8	A0A6P0SZQ8_9CYAN	unreviewed	DUF4870 domain-containing protein	F6K26_49170	Moorea sp. SIO2I5	120	integral component of membrane [GO:0016021]	GO:0016021
GAX42817.1	A0A218QM37	A0A218QM37_9CYAN	unreviewed	Uncharacterized protein	NIES4075_38210	Tolypothrix sp. NIES-4075	84		
HAC65676.1	A0A3B8Y6R5	A0A3B8Y6R5_9CYAN	unreviewed	Arabinose efflux permease	DCF68_19620	Cyanothece sp. UBA12306	482	integral component of membrane [GO:0016021]; transmembrane transporter activity [GO:0022857]	GO:0016021; GO:0022857
REJ59911.1	A0A3E0MJC0	A0A3E0MJC0_MICAE	unreviewed	Nucleotidyltransferase domain-containing protein	DWQ56_01220	Microcystis aeruginosa DA14	124	transferase activity [GO:0016740]	GO:0016740
HBB32710.1	A0A352AGX8	A0A352AGX8_9CYAN	unreviewed	Oxidoreductase	DC064_13160	Cyanobacteria bacterium UBA9273	303	NAD binding [GO:0051287]; NADP binding [GO:0050661]; oxidoreductase activity [GO:0016491]	GO:0016491; GO:0050661; GO:0051287
RCJ41228.1	A0A367RXG1	A0A367RXG1_9NOSO	unreviewed	HNH endonuclease	A6770_09120	Nostoc minutum NIES-26	165	endonuclease activity [GO:0004519]; nucleic acid binding [GO:0003676]	GO:0003676; GO:0004519
RFP60245.1	A0A372DL01	A0A372DL01_9CYAN	unreviewed	Uncharacterized protein	BJG00_007245	Limnothrix sp. CACIAM 69d	69		
KTD17649.1	A0A0W0VC10	A0A0W0VC10_9GAMM	unreviewed	Cell wall-associated hydrolase	Ljor_1955	Legionella jordanis	122	hydrolase activity [GO:0016787]	GO:0016787
QDZ39062.1	A0A5B8NIN7	A0A5B8NIN7_9CHRO	unreviewed	Cobalt-precorrin-8X methylmutase	FRE64_03405	Euhalothece natronophila Z-M001	220	precorrin-8X methylmutase activity [GO:0016993]; cobalamin biosynthetic process [GO:0009236]	GO:0009236; GO:0016993
TRT86858.1	A0A552AMZ7	A0A552AMZ7_MICAE	unreviewed	DUF4335 domain-containing protein	EWV82_05040	Microcystis aeruginosa Ma_AC_P_19900807_S299	445	integral component of membrane [GO:0016021]	GO:0016021
EDX76743.1	B4VMD5	B4VMD5_9CYAN	unreviewed	Uncharacterized protein	MC7420_1746	Coleofasciculus chthonoplastes PCC 7420	124		
BAZ06943.1	A0A1Z4NML9	A0A1Z4NML9_9CYAN	unreviewed	Uncharacterized protein	NIES3974_36050	Calothrix sp. NIES-3974	241	integral component of membrane [GO:0016021]	GO:0016021
RPH86811.1	A0A3N5II61	A0A3N5II61_9CHRO	unreviewed	HAD family hydrolase	EHM73_13245	Chroococcales cyanobacterium metabat2.561	219	hydrolase activity [GO:0016787]	GO:0016787
TRU22419.1	A0A552DJM3	A0A552DJM3_MICAE	unreviewed	DNA phosphorothioation-associated putative methyltransferase	EWV80_14405	Microcystis aeruginosa Ma_QC_B_20070730_S2	682	methyltransferase activity [GO:0008168]; methylation [GO:0032259]	GO:0008168; GO:0032259
HAC64734.1	A0A3B8Y9R5	A0A3B8Y9R5_9CYAN	unreviewed	Uncharacterized protein	DCF68_14660	Cyanothece sp. UBA12306	425		
GBF79721.1	A0A401IER2	A0A401IER2_APHSA	unreviewed	UTP--glucose-1-phosphate uridylyltransferase (EC 2.7.7.9) (Cyanobacterial UDP-glucose pyrophosphorylase) (UDP-glucose pyrophosphorylase) (UDP-Glc PPase)	cugP AsFPU1_1120	Aphanothece sacrum FPU1	394	magnesium ion binding [GO:0000287]; UTP binding [GO:0002134]; UTP:glucose-1-phosphate uridylyltransferase activity [GO:0003983]; biosynthetic process [GO:0009058]; UDP-glucose metabolic process [GO:0006011]	GO:0000287; GO:0002134; GO:0003983; GO:0006011; GO:0009058
AFZ12121.1	K9VVY6	K9VVY6_9CYAN	unreviewed	Uncharacterized protein	Cri9333_1220	Crinalium epipsammum PCC 9333	231		
TRT61607.1	A0A551YKV8	A0A551YKV8_MICAE	unreviewed	Magnesium chelatase (EC 6.6.1.1)	EWV85_02820	Microcystis aeruginosa Ma_QC_C_20070703_M131	1328	ATP binding [GO:0005524]; magnesium chelatase activity [GO:0016851]; chlorophyll biosynthetic process [GO:0015995]; photosynthesis [GO:0015979]	GO:0005524; GO:0015979; GO:0015995; GO:0016851
BAZ29704.1	A0A1Z4QHP5	A0A1Z4QHP5_9NOST	unreviewed	AMP-dependent synthetase and ligase	NIES4074_21510	Cylindrospermum sp. NIES-4074	614	ligase activity [GO:0016874]; lipid biosynthetic process [GO:0008610]	GO:0008610; GO:0016874
HAZ45002.1	A0A351L2I2	A0A351L2I2_9CYAN	unreviewed	Uncharacterized protein	DCZ55_11145	Cyanobacteria bacterium UBA11371	433	integral component of membrane [GO:0016021]	GO:0016021
AFY79361.1	K9TB62	K9TB62_9CYAN	unreviewed	GUN4 protein	Ple7327_4239	Pleurocapsa sp. PCC 7327	235		
PIX33221.1	A0A2M7K506	A0A2M7K506_9BACT	unreviewed	PIN domain nuclease	COZ59_09800	Bacteroidetes bacterium CG_4_8_14_3_um_filter_31_14	131		
BAZ28597.1	A0A1Z4QEF3	A0A1Z4QEF3_9NOST	unreviewed	Ferric uptake regulator family protein	NIES4074_10310	Cylindrospermum sp. NIES-4074	148	DNA-binding transcription factor activity [GO:0003700]	GO:0003700
OBQ40978.1	A0A1B7WV21	A0A1B7WV21_9NOST	unreviewed	Glycosyltransferase	AN485_03830	Anabaena sp. MDT14b	507	"integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]; transferase activity, transferring glycosyl groups [GO:0016757]"	GO:0005886; GO:0016021; GO:0016757
NEZ66581.1	A0A6M0SEZ5	A0A6M0SEZ5_9CYAN	unreviewed	Uncharacterized protein	D0962_28110	Leptolyngbyaceae cyanobacterium CCMR0082	505	integral component of membrane [GO:0016021]	GO:0016021
HAC62238.1	A0A3B8XZ56	A0A3B8XZ56_9CYAN	unreviewed	Amino acid ABC transporter substrate-binding protein	DCF68_01555	Cyanothece sp. UBA12306	299		
NEQ80334.1	A0A6P0SH74	A0A6P0SH74_9CYAN	unreviewed	DEAD/DEAH box helicase	F6K26_08765	Moorea sp. SIO2I5	535	ATP binding [GO:0005524]; DNA binding [GO:0003677]; helicase activity [GO:0004386]; hydrolase activity [GO:0016787]	GO:0003677; GO:0004386; GO:0005524; GO:0016787
NEQ82028.1	A0A6P0SH48	A0A6P0SH48_9CYAN	unreviewed	Uncharacterized protein	F6K26_17765	Moorea sp. SIO2I5	428		
TBR56403.1	A0A4Q9J2Q7	A0A4Q9J2Q7_9CYAN	unreviewed	NACHT domain-containing protein	B4U84_29830 B4U84_30030	Westiellopsis prolifica IICB1	937	integral component of membrane [GO:0016021]	GO:0016021
OIP74954.1	A0A1J5GZH5	A0A1J5GZH5_9CYAN	unreviewed	Cadherin domain-containing protein	AUK48_08655	Oscillatoriales cyanobacterium CG2_30_44_21	1062	membrane [GO:0016020]; calcium ion binding [GO:0005509]; homophilic cell adhesion via plasma membrane adhesion molecules [GO:0007156]	GO:0005509; GO:0007156; GO:0016020
NEO18429.1	A0A6P0J386	A0A6P0J386_9CYAN	unreviewed	Na/Pi cotransporter family protein	F6K57_03235	Moorea sp. SIO4A5	379	integral component of membrane [GO:0016021]; phosphate ion transmembrane transporter activity [GO:0015114]; sodium:phosphate symporter activity [GO:0005436]; sodium-dependent phosphate transport [GO:0044341]	GO:0005436; GO:0015114; GO:0016021; GO:0044341
PYT98380.1	A0A2V9AMC4	A0A2V9AMC4_9BACT	unreviewed	Methyltransf_21 domain-containing protein	DMG34_21800	Acidobacteria bacterium	233		
HAJ62254.1	A0A3C0NCK6	A0A3C0NCK6_9CYAN	unreviewed	Peptide chain release factor 3 (RF-3)	prfC DCP31_25935	Cyanobacteria bacterium UBA8543	542	"cytoplasm [GO:0005737]; GTP binding [GO:0005525]; GTPase activity [GO:0003924]; translation release factor activity, codon specific [GO:0016149]; regulation of translational termination [GO:0006449]"	GO:0003924; GO:0005525; GO:0005737; GO:0006449; GO:0016149
HDZ62010.1	A0A7V1BW99	A0A7V1BW99_9BACT	unreviewed	Plasmid maintenance system killer	ENH40_02550	Nitrospirae bacterium	91		
SBT03985.1	A0A1A8XFN6	A0A1A8XFN6_9PROT	unreviewed	Uncharacterized protein	ACCAA_1270002	Candidatus Accumulibacter aalborgensis	537		
QDZ23643.1	A0A5B8MSZ1	A0A5B8MSZ1_9CHLO	unreviewed	Thioredoxin reductase	A3770_11p61610	Chloropicon primus	347	oxidoreductase activity [GO:0016491]	GO:0016491
NEO31608.1	A0A6P0K935	A0A6P0K935_9CYAN	unreviewed	PHP domain-containing protein	F6K36_14470	Symploca sp. SIO3C6	236	catalytic activity [GO:0003824]	GO:0003824
NEQ10050.1	A0A6P0PZV6	A0A6P0PZV6_9CYAN	unreviewed	DUF4350 domain-containing protein (Fragment)	F6K37_30200	Moorea sp. SIO4E2	357	integral component of membrane [GO:0016021]	GO:0016021
HBE19818.1	A0A352XCR9	A0A352XCR9_9CYAN	unreviewed	DUF58 domain-containing protein	DDW51_19940	Cyanobacteria bacterium UBA11367	435	integral component of membrane [GO:0016021]	GO:0016021
AOY84802.1	A0A1D9GAX5	A0A1D9GAX5_9CYAN	unreviewed	AraC family transcriptional regulator	BJP36_20950	Moorea producens JHB	261	DNA-binding transcription factor activity [GO:0003700]; sequence-specific DNA binding [GO:0043565]	GO:0003700; GO:0043565
PYS83357.1	A0A2V8RLU4	A0A2V8RLU4_9BACT	unreviewed	Uncharacterized protein	DMF67_09450	Acidobacteria bacterium	829	integral component of membrane [GO:0016021]	GO:0016021
ACK66059.1	B7JYY2	B7JYY2_RIPO1	unreviewed	Superoxide dismutase (EC 1.15.1.1)	PCC8801_2024	Rippkaea orientalis (strain PCC 8801) (Cyanothece sp. (strain PCC 8801))	262	metal ion binding [GO:0046872]; superoxide dismutase activity [GO:0004784]	GO:0004784; GO:0046872
CCQ66052.1	T2JNC8	T2JNC8_CROWT	unreviewed	Mitochondrial outer membrane 72K protein	CWATWH0402_1878	Crocosphaera watsonii WH 0402	294	integral component of membrane [GO:0016021]	GO:0016021
OKH16455.1	A0A1U7H5A0	A0A1U7H5A0_9CYAN	unreviewed	Ribosome maturation factor RimM	rimM NIES592_02100	Fischerella major NIES-592	220	cytoplasm [GO:0005737]; ribosome [GO:0005840]; ribosome binding [GO:0043022]; ribosomal small subunit biogenesis [GO:0042274]; rRNA processing [GO:0006364]	GO:0005737; GO:0005840; GO:0006364; GO:0042274; GO:0043022
HAC65666.1	A0A3B8Y6Q4	A0A3B8Y6Q4_9CYAN	unreviewed	Precorrin-2 C(20)-methyltransferase	DCF68_19570	Cyanothece sp. UBA12306	242	precorrin-2 C20-methyltransferase activity [GO:0030788]; cobalamin biosynthetic process [GO:0009236]; methylation [GO:0032259]	GO:0009236; GO:0030788; GO:0032259
CAA9286700.1	A0A6J4JT23	A0A6J4JT23_9CYAN	unreviewed	Uncharacterized protein	AVDCRST_MAG92-3968	uncultured Coleofasciculus sp.	82		
NEO11344.1	A0A6L9Y9X9	A0A6L9Y9X9_9CYAN	unreviewed	DGQHR domain-containing protein	F6K46_02900	Moorea sp. SIO3E8	533		
HBK24389.1	A0A354WHY9	A0A354WHY9_9CYAN	unreviewed	Uncharacterized protein	DDZ60_18380	Planktothrix sp. UBA10369	393		
NER24878.1	A0A6P0VAF9	A0A6P0VAF9_9CYAN	unreviewed	Glycine betaine/L-proline ABC transporter substrate-binding protein ProX	proX F6J96_30095	Symploca sp. SIO1C2	355	ATP-binding cassette (ABC) transporter complex [GO:0043190]; transmembrane transporter activity [GO:0022857]	GO:0022857; GO:0043190
NEN98149.1	A0A6P0IKB2	A0A6P0IKB2_9CYAN	unreviewed	Glycine betaine/L-proline ABC transporter ATP-binding protein	F6K50_22315	Moorea sp. SIO3I7	405	membrane [GO:0016020]; ATP binding [GO:0005524]; ATPase-coupled transmembrane transporter activity [GO:0042626]; glycine betaine transport [GO:0031460]	GO:0005524; GO:0016020; GO:0031460; GO:0042626
TMH76269.1	A0A537AST6	A0A537AST6_9PROT	unreviewed	DUF4440 domain-containing protein	E6H51_07175	Betaproteobacteria bacterium	155		
RPH91569.1	A0A3N5J655	A0A3N5J655_9CHRO	unreviewed	Acetyl-coenzyme A carboxylase carboxyl transferase subunit beta (ACCase subunit beta) (Acetyl-CoA carboxylase carboxyltransferase subunit beta) (EC 2.1.3.15)	accD EHM73_01685	Chroococcales cyanobacterium metabat2.561	316	acetyl-CoA carboxylase complex [GO:0009317]; acetyl-CoA carboxylase activity [GO:0003989]; ATP binding [GO:0005524]; carboxyl- or carbamoyltransferase activity [GO:0016743]; zinc ion binding [GO:0008270]; fatty acid biosynthetic process [GO:0006633]; malonyl-CoA biosynthetic process [GO:2001295]	GO:0003989; GO:0005524; GO:0006633; GO:0008270; GO:0009317; GO:0016743; GO:2001295
OCR00251.1	A0A1C0VR35	A0A1C0VR35_9CYAN	unreviewed	Bifunctional protein GlmU [Includes: UDP-N-acetylglucosamine pyrophosphorylase (EC 2.7.7.23) (N-acetylglucosamine-1-phosphate uridyltransferase); Glucosamine-1-phosphate N-acetyltransferase (EC 2.3.1.157)]	glmU BCD67_24920	Oscillatoriales cyanobacterium USR001	463	cytoplasm [GO:0005737]; glucosamine-1-phosphate N-acetyltransferase activity [GO:0019134]; magnesium ion binding [GO:0000287]; UDP-N-acetylglucosamine diphosphorylase activity [GO:0003977]; cell morphogenesis [GO:0000902]; cell wall organization [GO:0071555]; lipid A biosynthetic process [GO:0009245]; peptidoglycan biosynthetic process [GO:0009252]; regulation of cell shape [GO:0008360]; UDP-N-acetylglucosamine biosynthetic process [GO:0006048]	GO:0000287; GO:0000902; GO:0003977; GO:0005737; GO:0006048; GO:0008360; GO:0009245; GO:0009252; GO:0019134; GO:0071555
HAC65011.1	A0A3B8Y4S8	A0A3B8Y4S8_9CYAN	unreviewed	Polyphosphate:AMP phosphotransferase	pap DCF68_16135	Cyanothece sp. UBA12306	497	polyphosphate:AMP phosphotransferase activity [GO:0043751]; polyphosphate metabolic process [GO:0006797]	GO:0006797; GO:0043751
CCQ67928.1	T2JPX3	T2JPX3_CROWT	unreviewed	Ribose-phosphate pyrophosphokinase (RPPK) (EC 2.7.6.1) (5-phospho-D-ribosyl alpha-1-diphosphate) (Phosphoribosyl diphosphate synthase) (Phosphoribosyl pyrophosphate synthase) (P-Rib-PP synthase) (PRPP synthase) (PRPPase)	prs CWATWH0402_3350	Crocosphaera watsonii WH 0402	330	cytoplasm [GO:0005737]; ATP binding [GO:0005524]; kinase activity [GO:0016301]; magnesium ion binding [GO:0000287]; ribose phosphate diphosphokinase activity [GO:0004749]; 5-phosphoribose 1-diphosphate biosynthetic process [GO:0006015]; nucleoside metabolic process [GO:0009116]; nucleotide biosynthetic process [GO:0009165]; ribonucleoside monophosphate biosynthetic process [GO:0009156]	GO:0000287; GO:0004749; GO:0005524; GO:0005737; GO:0006015; GO:0009116; GO:0009156; GO:0009165; GO:0016301
CCQ55982.1	T2IT62	T2IT62_CROWT	unreviewed	"dTDP-glucose 4,6-dehydratase (EC 4.2.1.46)"	CWATWH0005_5317	Crocosphaera watsonii WH 0005	327	"dTDP-glucose 4,6-dehydratase activity [GO:0008460]"	GO:0008460
AFY44332.1	K9QHR1	K9QHR1_9NOSO	unreviewed	NTP_transf_9 domain-containing protein	Nos7107_3771	Nostoc sp. PCC 7107	186		
RPH87988.1	A0A3N5IKL4	A0A3N5IKL4_9CHRO	unreviewed	Uncharacterized protein	EHM73_11530	Chroococcales cyanobacterium metabat2.561	80	integral component of membrane [GO:0016021]	GO:0016021
PSN17757.1	A0A2P8WD86	A0A2P8WD86_9CYAN	unreviewed	Uncharacterized protein	C7271_16080	filamentous cyanobacterium CCP5	75		
BAZ03781.1	A0A1Z4NDG4	A0A1Z4NDG4_9CYAN	unreviewed	Uncharacterized protein	NIES3974_04110	Calothrix sp. NIES-3974	159		
OCQ92934.1	A0A1C0V570	A0A1C0V570_9NOSO	unreviewed	Site-specific DNA-methyltransferase (adenine-specific) (EC 2.1.1.72)	BCD64_09385	Nostoc sp. MBR 210	894	DNA binding [GO:0003677]; endonuclease activity [GO:0004519]; N-methyltransferase activity [GO:0008170]; site-specific DNA-methyltransferase (adenine-specific) activity [GO:0009007]	GO:0003677; GO:0004519; GO:0008170; GO:0009007
RME08768.1	A0A3M1BJI3	A0A3M1BJI3_9CHLR	unreviewed	Cobalamin biosynthesis protein CbiM	D6803_00370	Anaerolineae bacterium	313	integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]; transition metal ion transport [GO:0000041]	GO:0000041; GO:0005886; GO:0016021
TRT85152.1	A0A552AI55	A0A552AI55_MICAE	unreviewed	Histidinol-phosphatase (EC 3.1.3.15) (Histidinol-phosphate phosphatase)	hisN EWV82_07340	Microcystis aeruginosa Ma_AC_P_19900807_S299	268	histidinol-phosphatase activity [GO:0004401]; metal ion binding [GO:0046872]; histidine biosynthetic process [GO:0000105]; inositol phosphate dephosphorylation [GO:0046855]	GO:0000105; GO:0004401; GO:0046855; GO:0046872
PIG91264.1	A0A2G7GEK3	A0A2G7GEK3_9CHRO	unreviewed	Uncharacterized protein	CSQ79_22745	Chroococcales cyanobacterium IPPAS B-1203	109		
CCQ69530.1	T2JWD7	T2JWD7_CROWT	unreviewed	Pentapeptide repeat	CWATWH0402_2421	Crocosphaera watsonii WH 0402	86		
PIG94035.1	A0A2G7GNC6	A0A2G7GNC6_9CHRO	unreviewed	D-aminoacyl-tRNA deacylase (EC 3.1.1.96)	dtd3 CSQ79_06725	Chroococcales cyanobacterium IPPAS B-1203	260	"D-aminoacyl-tRNA deacylase activity [GO:0051499]; endodeoxyribonuclease activity, producing 5'-phosphomonoesters [GO:0016888]; metal ion binding [GO:0046872]; D-amino acid catabolic process [GO:0019478]"	GO:0016888; GO:0019478; GO:0046872; GO:0051499
RCJ37118.1	A0A367RKP4	A0A367RKP4_NOSPU	unreviewed	Uncharacterized protein	A6769_13525	Nostoc punctiforme NIES-2108	81		
OGW03363.1	A0A1G1D8F6	A0A1G1D8F6_9BACT	unreviewed	Toxin HicA	A2889_08940	Nitrospinae bacterium RIFCSPLOWO2_01_FULL_39_10	84	endonuclease activity [GO:0004519]; mRNA binding [GO:0003729]	GO:0003729; GO:0004519
NWG05010.1	A0A7Y8LY45	A0A7Y8LY45_9DELT	unreviewed	Type II toxin-antitoxin system HicA family toxin	HXY44_19330	Syntrophaceae bacterium	61		
